                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.80101,                0.64083,                  1.009,                0.90702,                0.86374,                0.91238,                0.76776,                0.67368,                0.47678,                0.90094,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                0.83231,                0.66972,                 1.0251,                0.91126,                0.86189,                0.91206,                0.76894,                0.67108,                0.47527,                0.90073,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                0.80733,                0.64614,                 1.0159,                0.89995,                 0.8616,                0.91331,                0.76753,                0.67064,                0.47586,                0.90069,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                0.80602,                0.68777,                 1.0413,                0.89984,                0.86107,                0.91338,                0.76793,                0.67309,                0.47815,                0.90103,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                0.78705,                0.64967,                 1.0124,                0.90484,                0.86128,                0.91429,                0.76705,                0.67028,                 0.4784,                    0.9,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                0.78075,                0.63025,                0.99583,                0.90872,                0.85835,                 0.9149,                0.76969,                0.66835,                0.48073,                 0.8988,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                0.75909,                0.61347,                0.99436,                 0.9059,                0.86355,                0.91646,                 0.7698,                0.66638,                  0.481,                 0.8979,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                0.78873,                0.63513,                 1.0127,                0.90546,                0.86518,                0.91539,                0.76948,                0.66554,                0.48194,                0.89729,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                0.77234,                0.62518,                0.99866,                0.90584,                0.86261,                0.91526,                0.77057,                0.66482,                0.48023,                0.89715,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                0.77577,                0.63021,                  1.006,                0.91211,                0.85996,                0.91557,                0.77085,                0.66105,                0.47648,                0.89557,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                0.74965,                0.59738,                0.98361,                0.91159,                 0.8622,                0.91593,                0.77088,                0.65834,                0.47375,                0.89457,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                0.80353,                0.63894,                0.99838,                0.90153,                0.86325,                0.91465,                0.77158,                0.65869,                0.47007,                0.89405,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                0.77424,                 0.6274,                0.98862,                 0.9079,                 0.8562,                0.91526,                0.77245,                0.65799,                 0.4681,                0.89374,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                0.79905,                0.63955,                 1.0048,                0.91817,                0.85653,                0.91565,                0.77105,                0.65561,                0.46661,                0.89261,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                0.79267,                0.64401,                0.99968,                 0.9185,                 0.8568,                0.91448,                0.77029,                0.65408,                 0.4654,                0.89171,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                0.75013,                0.60179,                 0.9788,                0.91314,                0.86632,                0.91709,                0.77154,                0.65193,                0.46156,                0.89104,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                0.74384,                0.61255,                0.98251,                0.91826,                0.85925,                0.91469,                0.77448,                0.65033,                0.46096,                0.89053,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                0.76096,                0.59988,                0.98967,                0.91504,                0.86312,                0.91549,                0.77534,                0.64619,                   0.46,                0.88903,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                0.79082,                0.62605,                0.98479,                0.92274,                0.85898,                0.91549,                0.77747,                0.64277,                0.45947,                0.88811,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                0.76206,                 0.6498,                 1.0099,                0.91025,                0.86519,                0.91564,                0.77735,                0.64221,                0.46016,                0.88784,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                 0.7829,                0.61676,                0.98699,                0.90419,                0.86563,                0.91411,                0.78016,                0.64164,                0.46063,                0.88769,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                 0.7551,                0.64009,                0.99287,                0.90936,                0.86355,                0.91619,                0.77945,                0.64198,                0.46211,                0.88733,             2.9464e-05,             2.9464e-05,             2.9464e-05
